2024-05-30 19:00:59.545087, -1001781413045_78356, MFGUSDT, short/sell/продажа, standard3-1
2024-05-30 19:03:01.832370, -1001484533565_10308, JOEUSDT, long/buy/покупка, standard3-1
2024-05-30 19:05:21.334038, 53435331_13625, SOLUSDT, long/buy/покупка, standard3-1
2024-05-30 19:12:29.727391, 53435331_13629, SOLUSDT, long/buy/покупка, standard3-1
2024-05-30 19:28:12.299089, -1001381200684_26284, WAVESUSDT, long/buy/покупка, standard3-1
2024-05-30 19:36:21.331933, 53435331_13641, SOLUSDT, long/buy/покупка, standard3-1
2024-05-30 19:36:54.577748, -1001754095061_23970, 1INCHUSDT, long/buy/покупка, standard3-1
2024-05-30 19:41:21.401588, -1001498552432_15708, BTCUSDT, short/sell/продажа, standard3-1
2024-05-30 19:44:44.323257, -1001781413045_78366, GMXUSDT, long/buy/покупка, standard3-1
2024-06-01 18:39:52.018885, -1001265726179_23214, LUNCUSDT, long/buy/покупка, standard3-1
2024-06-01 19:56:07.290479, -1001610025737_48810, RSRUSDT, long/buy/покупка, standard3-1
2024-06-01 19:56:08.538320, -1001610025737_48811, LUNCUSDT, long/buy/покупка, standard3-1
2024-06-01 20:10:11.153994, -1001939319331_11567, MYROUSDT, long/buy/покупка, standard3-1
2024-06-01 22:49:02.174691, -1001155784837_32627, MYROUSDT, long/buy/покупка, standard3-1
2024-06-01 22:51:49.841818, -1001155784837_32628, MYROUSDT, long/buy/покупка, standard3-1
2024-06-01 23:50:37.179222, -1001304556087_14094, SOLUSDT, long/buy/покупка, standard3-1
2024-06-02 01:21:47.234984, -1001483974324_35898, WAVESUSDT, long/buy/покупка, standard3-1
2024-06-02 03:23:33.158653, -1001483974324_35910, PEPUSDT, long/buy/покупка, standard3-1
2024-06-02 03:26:52.668102, -1001155784837_32634, MYROUSDT, long/buy/покупка, standard3-1
2024-06-02 03:45:07.422635, -1001390568202_11756, STGUSDT, short/sell/продажа, standard3-1
2024-06-02 03:47:21.216544, -1001939452549_8065, NOTUSDT, long/buy/покупка, standard3-1
2024-06-02 04:03:59.848951, -1001155784837_32640, CHZUSDT, long/buy/покупка, standard3-1
2024-06-02 05:05:33.534413, -1001483974324_35913, BNBUSDT, short/sell/продажа, standard3-1
2024-06-02 05:34:41.084909, -1001483974324_35914, BNBUSDT, short/sell/продажа, standard3-1
2024-06-02 06:03:51.936960, -1001483974324_35916, BTCUSDT, long/buy/покупка, standard3-1
2024-06-02 06:26:34.055924, -1001155784837_32652, DYDXUSDT, short/sell/продажа, standard3-1
2024-06-02 06:37:25.953895, -1001388610285_19376, TNSRUSDT, long/buy/покупка, standard3-1
2024-06-02 07:32:56.789579, -1001620523311_14625, GRTUSDT, short/sell/продажа, standard3-1
2024-06-02 08:12:46.000148, -1001939319331_11591, TNSRUSDT, long/buy/покупка, standard3-1
2024-06-02 08:57:04.469225, -1001155784837_32663, TRXUSDT, long/buy/покупка, standard3-1
2024-06-02 13:08:03.542036, -1001566185302_2728, PEOPLEUSDT, short/sell/продажа, standard3-1
2024-06-02 14:38:30.757232, 53435331_13775, PEOPLEUSDT, short/sell/продажа, standard3-1
2024-06-02 14:42:16.876041, 53435331_13777, PEOPLEUSDT, short/sell/продажа, standard3-1
2024-06-02 14:46:00.468053, 53435331_13779, PEOPLEUSDT, short/sell/продажа, standard3-1
2024-06-02 14:47:49.521740, 53435331_13781, PEOPLEUSDT, short/sell/продажа, standard3-1
2024-06-02 14:53:53.509136, 53435331_13783, PEOPLEUSDT, short/sell/продажа, standard3-1
2024-06-03 19:24:38.659027, 53435331_13834, BNBUSDT, short/sell/продажа, standard3-1
2024-06-03 19:24:51.373686, 53435331_13835, TRXUSDT, short/sell/продажа, standard3-1
2024-06-03 19:51:34.745101, 53435331_13839, ETHUSDT, long/buy/покупка, standard3-1
2024-06-03 20:48:58.160391, 53435331_13850, ETHUSDT, long/buy/покупка, standard3-1
2024-06-03 21:03:43.704664, 53435331_13853, ETHUSDT, long/buy/покупка, standard3-1
2024-06-03 21:17:42.528615, 53435331_13856, ETHUSDT, long/buy/покупка, standard3-1
2024-06-03 21:26:23.284072, 53435331_13857, ETHUSDT, long/buy/покупка, standard3-1
2024-06-03 22:25:42.778761, 53435331_13864, ETHUSDT, long/buy/покупка, standard3-1
2024-06-03 22:26:30.541366, 53435331_13865, 1000PEPEUSDT, long/buy/покупка, standard3-1
2024-06-04 00:04:51.983700, -1001317169843_11926, TWTUSDT, long/buy/покупка, standard3-1
2024-06-04 02:12:35.303047, -1001390568202_11795, GMXUSDT, short/sell/продажа, standard3-1
2024-06-04 02:12:38.517621, -1001390568202_11796, GMXUSDT, long/buy/покупка, standard3-1
2024-06-04 02:12:48.671963, -1001390568202_11799, GTCUSDT, long/buy/покупка, standard3-1
2024-06-04 02:13:11.086282, -1001390568202_11803, XEMUSDT, short/sell/продажа, standard3-1
2024-06-04 02:13:12.649366, -1001390568202_11804, XEMUSDT, long/buy/покупка, standard3-1
2024-06-04 02:26:11.596719, -1001622654998_119608, DOGEUSDT, long/buy/покупка, standard3-1
2024-06-04 02:26:39.062923, -1001622654998_119609, GRTUSDT, long/buy/покупка, standard3-1
2024-06-04 05:45:14.913710, -1001478129073_1991, INDIANBUSDT, short/sell/продажа, standard3-1
2024-06-04 06:47:50.237388, -1001763937690_3623, GRTUSDT, short/sell/продажа, standard3-1
2024-06-04 06:56:36.837735, -1001962664913_2653, BTCUSDT, long/buy/покупка, standard3-1
2024-06-04 07:02:02.130297, -1001553551852_38232, ROSEUSDT, short/sell/продажа, standard3-1
2024-06-04 07:05:04.972705, -1001902940198_12834, KAVAUSDT, short/sell/продажа, standard3-1
2024-06-04 07:09:47.629632, -1001939319331_11689, BTCUSDT, long/buy/покупка, standard3-1
2024-06-04 08:00:42.887916, -1001853603830_3531, FTMUSDT, long/buy/покупка, standard3-1
2024-06-04 08:19:56.214103, -1001622654998_119647, YFIUSDT, long/buy/покупка, standard3-1
2024-06-04 08:30:12.865227, -1001630692598_12998, MATICUSDT, long/buy/покупка, standard3-1
2024-06-04 08:32:57.054421, -1001630692598_13000, AXSUSDT, long/buy/покупка, standard3-1
2024-06-04 09:03:14.821077, -1001552004524_34965, ETHFIUSDT, long/buy/покупка, standard3-1
2024-06-04 09:03:51.008392, -1001962664913_2656, ETHUSDT, long/buy/покупка, standard3-1
2024-06-04 09:11:47.516787, -1001622654998_119648, TLMUSDT, long/buy/покупка, standard3-1
2024-06-04 09:15:33.055862, -1001902940198_12839, FLOKIUSDT, long/buy/покупка, standard3-1
2024-06-04 09:20:46.320568, -1001622654998_119653, IOTXUSDT, long/buy/покупка, standard3-1
2024-06-04 09:33:58.778563, -1001552004524_34966, ETHFIUSDT, long/buy/покупка, standard3-1
2024-06-04 09:34:05.647898, -1001913353132_1251, ORIDUSDT, long/buy/покупка, standard3-1
2024-06-04 09:38:12.928844, -1001212188460_26408, MANAUSDT, long/buy/покупка, standard3-1
2024-06-04 09:40:31.163540, -1001693869876_2570, BAKEUSDT, long/buy/покупка, standard3-1
2024-06-04 09:40:34.236147, -1001833426987_4175, BAKEUSDT, short/sell/продажа, standard3-1
2024-06-04 09:44:49.144043, -1002137572094_1764, LPTUSDT, long/buy/покупка, standard3-1
2024-06-04 09:46:20.670833, -1001988377539_1519, BAKEUSDT, long/buy/покупка, standard3-1
2024-06-04 09:48:12.686484, -1001155784837_32759, DYDXUSDT, short/sell/продажа, standard3-1
2024-06-04 09:53:01.945538, -1001763937690_3624, HBARUSDT, short/sell/продажа, standard3-1
2024-06-04 10:09:21.322283, -1001552004524_34968, ETHFIUSDT, long/buy/покупка, standard3-1
2024-06-04 10:31:32.302502, -1001552004524_34970, TOMOUSDT, short/sell/продажа, standard3-1
2024-06-04 10:54:10.453948, -1001553551852_38245, ALICEUSDT, short/sell/продажа, standard3-1
2024-06-04 10:56:00.470221, -1001553551852_38248, ALGOUSDT, long/buy/покупка, standard3-1
2024-06-04 11:01:06.809436, -1001622654998_119656, RUNEUSDT, long/buy/покупка, standard3-1
2024-06-04 11:05:00.703490, -1001902940198_12844, TOURNAMENTUSDT, long/buy/покупка, standard3-1
2024-06-04 11:14:20.561898, -1001902940198_12846, KAVAUSDT, long/buy/покупка, standard3-1
2024-06-04 11:32:52.011710, -1001747188464_4659, ETCUSDT, long/buy/покупка, standard3-1
2024-06-04 11:40:02.312955, -1001552004524_34976, ETHFIUSDT, long/buy/покупка, standard3-1
2024-06-04 11:40:39.924138, -1001962664913_2659, ARBUSDT, long/buy/покупка, standard3-1
2024-06-04 12:04:12.818802, -1001317169843_11931, STEEMUSDT, long/buy/покупка, standard3-1
2024-06-04 12:07:20.474745, -1001622654998_119657, ICPUSDT, long/buy/покупка, standard3-1
2024-06-04 12:24:44.714534, -1001913353132_1253, ARBUSDT, short/sell/продажа, standard3-1
2024-06-04 12:53:07.983726, -1001552004524_34979, DYDXUSDT, short/sell/продажа, standard3-1
2024-06-04 12:55:35.002413, -1001902940198_12850, ARBUSDT, long/buy/покупка, standard3-1
2024-06-04 13:03:49.235863, -1001747188464_4661, BTCUSDT, long/buy/покупка, standard3-1
2024-06-04 13:05:21.666622, -1001869308849_3719, GALUSDT, short/sell/продажа, standard3-1
2024-06-04 13:05:25.750706, -1001851528268_2047, APTUSDT, long/buy/покупка, standard3-1
2024-06-04 13:08:01.677084, -1001552004524_34980, FLOWUSDT, long/buy/покупка, standard3-1
2024-06-04 13:19:57.187458, -1001622654998_119659, ICPUSDT, long/buy/покупка, standard3-1
2024-06-04 13:22:31.116935, -1001622654998_119660, GRTUSDT, long/buy/покупка, standard3-1
2024-06-04 13:26:06.027813, -1001233154810_3274, WIFUSDT, long/buy/покупка, standard3-1
2024-06-04 13:26:24.048931, -1001262962760_93900, MATICUSDT, long/buy/покупка, standard3-1
2024-06-04 13:32:48.478020, -1001902940198_12850, ARBUSDT, long/buy/покупка, standard3-1
2024-06-04 13:32:56.003438, -1001262962760_93900, MATICUSDT, long/buy/покупка, standard3-1
2024-06-04 13:36:42.174783, -1001552004524_34980, FLOWUSDT, long/buy/покупка, standard3-1
2024-06-04 13:36:56.495443, -1001851528268_2047, APTUSDT, long/buy/покупка, standard3-1
2024-06-04 13:37:31.162804, -1001913353132_1253, ARBUSDT, short/sell/продажа, standard3-1
2024-06-04 13:40:56.027459, -1001784672307_25282, ANKRUSDT, short/sell/продажа, standard3-1
2024-06-04 13:46:04.964197, -1001553551852_38256, ORDIUSDT, short/sell/продажа, standard3-1
2024-06-04 13:47:32.995395, -1001622654998_119661, GRTUSDT, long/buy/покупка, standard3-1
2024-06-04 13:48:24.601519, -1001962664913_2662, BSWUSDT, long/buy/покупка, standard3-1
2024-06-04 13:57:52.641393, -1001155784837_32765, BTCUSDT, long/buy/покупка, standard3-1
2024-06-04 14:09:06.893026, -1001553551852_38259, ARBUSDT, short/sell/продажа, standard3-1
2024-06-04 14:09:28.186094, -1001630692598_13011, COTIUSDT, long/buy/покупка, standard3-1
2024-06-04 14:12:18.498318, -1001553917296_3954, BTCUSDT, long/buy/покупка, standard3-1
2024-06-04 14:43:37.683860, -1001784672307_25298, DUSKUSDT, long/buy/покупка, standard3-1
2024-06-04 14:44:22.998724, -1001902940198_12853, GALAUSDT, long/buy/покупка, standard3-1
2024-06-04 14:51:09.402965, -1001784672307_25301, IOTAUSDT, long/buy/покупка, standard3-1
2024-06-04 15:10:33.342891, -1001622654998_119665, IOTXUSDT, long/buy/покупка, standard3-1
2024-06-04 15:19:05.871445, -1001212188460_26430, MANAUSDT, long/buy/покупка, standard3-1
2024-06-04 15:19:51.805889, -1001622654998_119668, XLMUSDT, long/buy/покупка, standard3-1
2024-06-04 15:24:11.340167, -1001784672307_25304, CKBUSDT, long/buy/покупка, standard3-1
2024-06-04 15:54:41.788086, -1001622654998_119676, GRTUSDT, long/buy/покупка, standard3-1
2024-06-04 15:57:19.853406, -1001566185302_2741, ONTUSDT, long/buy/покупка, standard3-1
2024-06-04 16:19:04.595184, -1001622654998_119678, DOGEUSDT, long/buy/покупка, standard3-1
2024-06-04 16:22:42.080976, -1001902940198_12855, ARBUSDT, long/buy/покупка, standard3-1
2024-06-04 16:24:08.838396, -1001375265989_22144, ETHUSDT, short/sell/продажа, standard3-1
2024-06-04 16:35:54.419425, -1001622654998_119680, SOLUSDT, long/buy/покупка, standard3-1
