2024-05-30 16:34:54.773500, 53435331_13618, ARBUSDT, long/buy/покупка, standard3-1
2024-05-31 17:07:30.521755, 53435331_13722, BTCUSDT, long, standard3-1
2024-06-01 09:54:12.801005, 53435331_13741, APTUSDT, long, standard3-1
2024-06-01 18:05:33.760682, -1001498552432_15719, BTCUSDT, short, standard3-1
2024-06-01 18:16:18.196637, -1001390568202_11750, BANDUSDT, long, standard3-1
2024-06-01 18:20:25.049637, 53435331_13755, APTUSDT, long, standard3-1
2024-06-01 19:22:47.362258, -1001537586252_15791, BTCUSDT, long, standard3-1
2024-06-01 19:39:16.531306, -1001771335800_13867, 1000PEPEUSDT, long, standard3-1
2024-06-01 20:24:17.124354, -1001771335800_13868, 1000PEPEUSDT, long, standard3-1
2024-06-01 22:58:53.848773, -1001610025737_48828, RSRUSDT, long, standard3-1
2024-06-02 03:32:18.397289, -1001483974324_35911, AVAXUSDT, long, standard3-1
2024-06-02 03:45:35.409578, -1001390568202_11764, GTCUSDT, long, standard3-1
2024-06-02 04:07:21.785212, -1001155784837_32641, CHZUSDT, long, standard3-1
2024-06-02 05:04:49.586376, -1001155784837_32647, DYDXUSDT, short, standard3-1
2024-06-02 06:36:41.520264, -1001155784837_32654, CHZUSDT, long, standard3-1
2024-06-02 08:35:33.630757, -1001483974324_35919, DOGEUSDT, short, standard3-1
2024-06-02 09:00:06.955295, -1001478129073_1987, SOLUSDT, short, standard3-1
2024-06-02 09:13:27.295534, -1001939452549_8080, PORTALUSDT, short, standard3-1
2024-06-02 09:53:39.879080, -1001388610285_19384, COTIUSDT, long, standard3-1
2024-06-02 10:20:20.488063, 53435331_13770, BTCUSDT, long, standard3-1
2024-06-02 11:06:01.558161, -1001537586252_15795, BTCUSDT, long, standard3-1
2024-06-02 11:34:39.480706, -1001610025737_48840, QTUMUSDT, short, standard3-1
2024-06-02 11:57:55.984658, -1001388610285_19390, TNSRUSDT, long, standard3-1
2024-06-02 12:08:17.760843, -1001388610285_19393, MASKUSDT, long, standard3-1
2024-06-02 13:00:09.564632, -1001478129073_1988, BTCUSDT, long, standard3-1
2024-06-02 13:53:45.830248, -1001388610285_19396, ACHUSDT, long, standard3-1
2024-06-02 15:09:17.656880, 53435331_13784, PEOPLEUSDT, short, standard3-1
2024-06-02 15:10:03.637710, 53435331_13785, TRXUSDT, short, standard3-1
2024-06-02 15:11:28.504652, 53435331_13786, TRXUSDT, long, standard3-1
2024-06-03 19:19:10.928316, 53435331_13830, STGUSDT, short, standard3-1
2024-06-04 00:24:59.618789, -1001939319331_11673, HIGHUSDT, short, standard3-1
2024-06-04 00:29:18.081298, -1001553551852_38220, ETCUSDT, long, standard3-1
2024-06-04 01:24:21.687385, -1001622654998_119606, FETUSDT, long, standard3-1
2024-06-04 02:00:09.184097, -1001478129073_1990, ETHUSDT, short, standard3-1
2024-06-04 02:10:50.178056, -1001155784837_32750, AXSUSDT, long, standard3-1
2024-06-04 03:57:15.755462, -1001552004524_34944, API3USDT, long, standard3-1
2024-06-04 05:44:00.754743, -1001552004524_34954, BELUSDT, long, standard3-1
2024-06-04 06:47:53.646394, -1001552004524_34957, BTCUSDT, long, standard3-1
2024-06-04 08:03:18.081191, -1001155784837_32756, DYDXUSDT, short, standard3-1
2024-06-04 10:40:45.619005, -1001552004524_34973, INJUSDT, long, standard3-1
2024-06-04 13:03:29.336439, -1001646418210_2042, ETCUSDT, long, standard3-1
