2024-05-30 18:50:06.395259, 53435331_13622, ARBUSDT, long, standard3-1
2024-05-30 18:55:41.425281, -1001381200684_26283, SANDUSDT, long, standard3-1
2024-05-30 19:00:21.403774, 53435331_13623, ARBUSDT, long, standard3-1
2024-05-30 19:00:35.842168, 53435331_13624, XRPUSDT, short, standard3-1
2024-05-30 19:12:14.589165, 53435331_13628, XRPUSDT, short, standard3-1
2024-05-30 19:25:55.041646, -1001754095061_23968, 1INCHUSDT, long, standard3-1
2024-05-31 09:33:16.071794, 53435331_13667, ARBUSDT, long, standard3-1
2024-05-31 09:34:07.843353, 53435331_13668, SOLUSDT, long, standard3-1
2024-05-31 09:43:22.386601, 53435331_13669, AVAXUSDT, long, standard3-1
2024-05-31 10:24:22.799270, -1001483974324_35820, AVAXUSDT, long, standard3-1
2024-05-31 11:28:52.853032, 53435331_13681, SOLUSDT, long, standard3-1
